labels,pow,shang,h_mean,s_mean,v_mean,h_std,s_std,v_std,h_thirdMoment,s_thirdMoment,v_thirdMoment
0.0,0.3107100471127514,0.3933409208642216,0.16527724498452187,0.14192202496287792,0.9343884870290317,0.3601212068621066,0.11264793209894672,0.4409739637161599,0.5158274767330525,0.1912862232926149,0.505148655900317
0.0,0.17573087271686608,0.4661684157944197,0.578055725879413,0.20215693917515135,0.8430059822122831,0.1971280777848726,0.4451415207654379,0.5162974155902218,0.18363952765498234,0.561605236451434,0.513890125449088
0.0,0.17573087271686608,0.4661684157944197,0.578055725879413,0.20215693917515135,0.8430059822122831,0.1971280777848726,0.4451415207654379,0.5162974155902218,0.18363952765498234,0.561605236451434,0.513890125449088
0.0,0.20020884459294427,0.5164633951174643,0.6504773283596951,0.13073752688150833,0.8995183619343272,0.17587699224850473,0.4472845892626685,0.6523981238413672,0.18775669924960095,0.656963470890532,0.7403411146546123
0.0,0.15450313451321607,0.5380018938307706,0.682069857259459,0.1455367556389815,0.9200851786639256,0.18599545585288532,0.4872460848510801,0.7091804579807219,0.18310730297281347,0.6803050640217081,0.7871790759523636
0.0,0.23410438015507598,0.4385499448183718,0.6967304656966062,0.25875121562244846,0.8257091715701734,0.2372797544481992,0.8142334607126047,1.0,0.23903944320189197,0.9387342781270863,1.0
0.0,0.14473108391321063,0.5933874367300089,0.5452438717180924,0.15473915875131028,0.8669468664731275,0.2738991526363609,0.4711053066410945,0.700602418469033,0.2744137155920065,0.6569814744217054,0.7588774040999705
0.0,0.3046129819926356,0.4375756966740282,0.5978236200309576,0.10616790089837344,0.9491478755265352,0.18235431983908207,0.3352987122065305,0.5893784685749399,0.19258114881879415,0.5393481420317877,0.6866232546074592
0.0,0.15015242211147517,0.5632923662171702,0.57705051290286,0.1684838800181264,0.8056478139265356,0.22670711298800708,0.5755977552213162,0.6906606840623811,0.23301351228661452,0.7644750431293759,0.7282338978145595
0.0,0.15138406782197647,0.5568625654131605,0.6232030107209143,0.18557755972386483,0.7673957130834078,0.22078515061228404,0.638754891221372,0.7485284406009428,0.22677311017476315,0.8236906581942242,0.7765482869006539
0.0,0.11640367983947554,0.6034609173262309,0.6174135377686517,0.18938475459082524,0.7566218429294179,0.26401527512390915,0.6581367129720406,0.7625806008555704,0.27365151654754977,0.8355865886888387,0.785304516108429
0.0,0.10294212597317073,0.627075594100201,0.5755579750471788,0.18192212959944307,0.5092811216971659,0.28190500693096204,0.5649223466097025,0.7160028756458001,0.2944680172440712,0.7800319524407525,0.7383879899750551
0.0,0.45126664213522666,0.3114575662567238,0.5397036334709298,0.09903111652961598,0.9494740465056593,0.1742018560079232,0.3199028489602267,0.5180229474667823,0.18743818940421464,0.5322328334071793,0.6440346011331541
0.0,0.2226869348248509,0.47178020989640695,0.6028702857023005,0.146525228825337,0.8506084120425261,0.18841135507298845,0.5014157764767796,0.6323723150874144,0.20744040991851312,0.7143293255330632,0.710705817302451
0.0,0.16768141176041623,0.44542257225048865,0.21742032592093083,0.27188413771624537,0.4108246959472352,0.28824061706683857,0.4002987026617706,0.35001097695519173,0.397476590143895,0.5946370336722614,0.42320218094848927
0.0,0.17375113917134,0.4977995302109292,0.3394413291867999,0.1999432333190597,0.7717268841018621,0.25728079834750445,0.3380725430492187,0.5999413171163921,0.283065275655492,0.46646055169398376,0.6010825831789809
0.0,0.07177332431695249,0.7057760452343872,0.42491938707024113,0.19386022101136324,0.6840423999299087,0.27853155022999515,0.40787740548183304,0.776616447519278,0.30140835593922183,0.5859029431644109,0.7685860232044006
0.0,0.1750145636971334,0.5720726766305896,0.42814035762454833,0.17647175647532232,0.4996453781161331,0.23160007083602505,0.33395515426558037,0.5168268653338861,0.26967951687687863,0.5387279149321483,0.6035350750656646
